planned_stops,planned_miles,planned_cases,planned_weight_lbs,planned_duration_min,is_monday,is_month_end,holiday_week_flag,warehouse_load_delay_min,picker_shortage_flag,load_complexity_score,start_delay_min,driver_tenure_days,driver_route_familiarity,driver_avg_delay_rate,retail_stop_pct,restaurant_stop_pct,weather_severity,traffic_index,cases_per_stop,miles_per_stop,weight_per_case,is_new_driver,high_complexity_route,load_delay_over_30,is_high_traffic,restaurant_heavy,complexity_index,window_pressure_ord,start_delay_bucket,dc_DC_CHICAGO,dc_DC_DALLAS,dc_DC_DENVER,dc_DC_NEWARK,dc_DC_PHOENIX,region_Mountain,region_Northeast,region_Southeast,region_Southwest,route_type_suburban,route_type_urban,vehicle_type_tractor_trailer,vehicle_type_van,day_of_week_Mon,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,is_delayed
8,224,362,8172,407,0,0,0,20,0,7.2,20,910,1,0.21,0.75,0.17,0,35,45.25,28.0,22.574585635359117,0,0,0,0,0,2.8,2,1,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0
30,33,1167,26842,476,0,0,1,32,1,5.1,13,691,1,0.102,0.66,0.28,1,55,38.9,1.1,23.000856898029134,0,1,1,0,0,16.5,0,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
12,177,494,11525,451,0,0,0,19,0,7.8,0,501,0,0.301,0.29,0.54,1,53,41.166666666666664,14.75,23.329959514170042,0,0,0,0,1,6.36,1,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0
30,145,929,19200,574,0,0,0,61,1,2.2,25,138,1,0.13,0.69,0.05,2,64,30.966666666666665,4.833333333333333,20.667384284176535,0,1,1,0,0,19.2,0,1,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,0
30,20,1066,26915,463,0,0,0,19,0,5.2,4,1874,1,0.122,0.81,0.0,2,64,35.53333333333333,0.6666666666666666,25.24859287054409,0,1,0,0,0,19.2,1,0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0
11,85,336,7295,275,0,0,0,38,1,8.5,17,598,0,0.121,0.64,0.0,2,59,30.545454545454547,7.7272727272727275,21.711309523809526,0,0,1,0,0,6.49,1,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0
40,74,1377,38560,664,0,0,0,16,0,5.0,9,596,1,0.103,0.38,0.44,1,61,34.425,1.85,28.002904865649963,0,1,0,0,0,24.4,1,0,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,0
25,96,1018,29391,490,0,0,0,31,0,5.7,20,553,0,0.302,0.48,0.24,0,76,40.72,3.84,28.8713163064833,0,0,1,1,0,19.0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
17,112,496,13159,370,0,0,0,15,0,6.4,8,1219,1,0.152,0.57,0.43,0,55,29.176470588235293,6.588235294117647,26.530241935483872,0,0,0,0,0,9.35,2,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0
13,196,438,12605,480,0,0,0,55,1,6.4,38,668,1,0.258,0.45,0.51,4,48,33.69230769230769,15.076923076923077,28.77853881278539,0,0,1,0,1,6.24,0,2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0
